BattleId,Date,Name,City,Country
1,02/07/1981 00:00:00,Round_1,Nagoya,Japan
2,12/13/1988 00:00:00,Round_2,Hiroshima,Japan
3,03/02/1998 00:00:00,Round_3,Nagoya,Japan
4,07/18/1990 00:00:00,Round_4,Shijuku,Japan
5,04/14/2013 00:00:00,Round_5,Hiroshima,Japan
6,02/17/1983 00:00:00,Round_6,Hiroshima,Japan
7,01/18/2015 00:00:00,Round_7,Hiroshima,Japan
8,04/07/2017 00:00:00,Round_8,Nagoya,Japan
9,09/14/1990 00:00:00,Round_9,Wakayama,Japan
10,08/10/1977 00:00:00,Round_10,Nagasaki,Japan
11,01/27/1975 00:00:00,Round_11,Nagoya,Japan
12,05/24/1996 00:00:00,Round_12,Nagasaki,Japan
13,03/17/1977 00:00:00,Round_13,Nagoya,Japan
14,06/07/1975 00:00:00,Round_14,Shijuku,Japan
15,06/01/2015 00:00:00,Round_15,Nagasaki,Japan
16,12/31/1984 00:00:00,Round_16,Wakayama,Japan
17,11/30/1986 00:00:00,Round_17,Shijuku,Japan
18,03/22/1996 00:00:00,Round_18,Nagoya,Japan
19,06/05/2009 00:00:00,Round_19,Wakayama,Japan
20,06/21/1972 00:00:00,Round_20,Nagasaki,Japan
21,10/07/2001 00:00:00,Round_21,Nagasaki,Japan
22,12/31/2011 00:00:00,Round_22,Shijuku,Japan
23,02/23/1981 00:00:00,Round_23,Wakayama,Japan
24,10/03/1982 00:00:00,Round_24,Nagasaki,Japan
25,03/01/2006 00:00:00,Round_25,Nagasaki,Japan
26,11/04/2004 00:00:00,Round_26,Wakayama,Japan
27,06/04/2020 00:00:00,Round_27,Shijuku,Japan
28,06/09/1989 00:00:00,Round_28,Shijuku,Japan
29,07/16/2003 00:00:00,Round_29,Nagoya,Japan
30,08/25/1989 00:00:00,Round_30,Shijuku,Japan
31,12/05/2014 00:00:00,Round_31,Nagoya,Japan
32,08/22/1977 00:00:00,Round_32,Nagasaki,Japan
33,04/10/2012 00:00:00,Round_33,Nagoya,Japan
34,11/16/2013 00:00:00,Round_34,Wakayama,Japan
35,01/21/2016 00:00:00,Round_35,Wakayama,Japan
36,06/15/1995 00:00:00,Round_36,Nagoya,Japan
37,03/25/2003 00:00:00,Round_37,Nagasaki,Japan
38,04/19/2019 00:00:00,Round_38,Wakayama,Japan
39,07/15/2015 00:00:00,Round_39,Wakayama,Japan
40,12/05/1986 00:00:00,Round_40,Hiroshima,Japan
41,11/30/2007 00:00:00,Round_41,Wakayama,Japan
42,10/04/1973 00:00:00,Round_42,Nagoya,Japan
43,02/27/2005 00:00:00,Round_43,Nagasaki,Japan
44,08/04/2018 00:00:00,Round_44,Wakayama,Japan
45,06/20/1980 00:00:00,Round_45,Nagoya,Japan
46,08/31/2005 00:00:00,Round_46,Hiroshima,Japan
47,06/09/1990 00:00:00,Round_47,Shijuku,Japan
48,03/11/2015 00:00:00,Round_48,Nagoya,Japan
49,06/13/2006 00:00:00,Round_49,Shijuku,Japan
50,01/21/1997 00:00:00,Round_50,Wakayama,Japan
51,05/08/2015 00:00:00,Round_51,Shijuku,Japan
52,02/14/2006 00:00:00,Round_52,Shijuku,Japan
53,12/27/2007 00:00:00,Round_53,Hiroshima,Japan
54,08/07/1983 00:00:00,Round_54,Hiroshima,Japan
55,01/05/2015 00:00:00,Round_55,Nagoya,Japan
56,10/15/2001 00:00:00,Round_56,Hiroshima,Japan
57,05/30/1995 00:00:00,Round_57,Nagoya,Japan
58,03/09/2012 00:00:00,Round_58,Shijuku,Japan
59,04/28/1998 00:00:00,Round_59,Wakayama,Japan
60,09/23/2010 00:00:00,Round_60,Nagoya,Japan
61,04/11/1989 00:00:00,Round_61,Nagoya,Japan
62,12/26/1974 00:00:00,Round_62,Wakayama,Japan
63,01/02/2015 00:00:00,Round_63,Shijuku,Japan
64,08/22/1981 00:00:00,Round_64,Nagoya,Japan
65,01/19/1996 00:00:00,Round_65,Hiroshima,Japan
66,02/20/1997 00:00:00,Round_66,Shijuku,Japan
67,08/13/2002 00:00:00,Round_67,Nagoya,Japan
68,05/21/1996 00:00:00,Round_68,Nagoya,Japan
69,11/19/2010 00:00:00,Round_69,Nagasaki,Japan
70,08/04/2016 00:00:00,Round_70,Shijuku,Japan
71,01/14/1976 00:00:00,Round_71,Nagasaki,Japan
72,05/07/2001 00:00:00,Round_72,Wakayama,Japan
73,09/19/1989 00:00:00,Round_73,Hiroshima,Japan
74,02/20/1993 00:00:00,Round_74,Wakayama,Japan
75,12/07/2003 00:00:00,Round_75,Nagoya,Japan
76,10/27/1992 00:00:00,Round_76,Nagoya,Japan
77,12/26/1997 00:00:00,Round_77,Wakayama,Japan
78,08/11/1996 00:00:00,Round_78,Hiroshima,Japan
79,10/10/2013 00:00:00,Round_79,Nagoya,Japan
80,02/06/1983 00:00:00,Round_80,Shijuku,Japan
81,08/01/2012 00:00:00,Round_81,Hiroshima,Japan
82,08/05/1974 00:00:00,Round_82,Hiroshima,Japan
83,04/25/2001 00:00:00,Round_83,Shijuku,Japan
84,11/10/2013 00:00:00,Round_84,Hiroshima,Japan
85,02/19/1994 00:00:00,Round_85,Hiroshima,Japan
86,08/24/1999 00:00:00,Round_86,Hiroshima,Japan
87,03/21/2000 00:00:00,Round_87,Nagasaki,Japan
88,12/02/1986 00:00:00,Round_88,Hiroshima,Japan
89,10/11/2008 00:00:00,Round_89,Hiroshima,Japan
90,04/17/1996 00:00:00,Round_90,Hiroshima,Japan
91,03/23/1975 00:00:00,Round_91,Nagasaki,Japan
92,10/13/1995 00:00:00,Round_92,Shijuku,Japan
93,10/15/1996 00:00:00,Round_93,Hiroshima,Japan
94,04/17/1970 00:00:00,Round_94,Wakayama,Japan
95,01/13/2017 00:00:00,Round_95,Nagoya,Japan
96,12/26/2017 00:00:00,Round_96,Shijuku,Japan
97,03/01/2005 00:00:00,Round_97,Shijuku,Japan
98,12/14/2010 00:00:00,Round_98,Nagasaki,Japan
99,08/31/1983 00:00:00,Round_99,Hiroshima,Japan
100,04/21/1993 00:00:00,Round_100,Nagasaki,Japan
